"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U39,U58,U44,U16,U25,U106,U55,U109,U56,U33,U38,U63,U76,U103,U2,U65,U81,U18,U99,U40,U92,U104,U51,U79,U20,U82,U89,U70,U29,U94,U34,U112,U4,U68,U95,U118,U69,U41,U73,U74,U115,U98,U64,U90,U62,U111,U17,U87,U91,U96,U47,U3,U45,U9,U21,U75,U100,U72,U36,U26,U117,U116,U71,U59,U32,U30,U50,U102,U54,U53,U114,U8,U35,U110,U105,U11,U24,U80,U93,U28,U78,U22,U86,U108,U6,U57,U66,U10,U84,U88,U42,U31,U85,U27,U23,U37,U67,U12,U7,U61,U113,U97,U101,U48,U15,U43,U77,U52,U49,U60,U83,U13,U46,U107,U5,U19,U14";"LED-SMD_4P-L1.0-W1.0-TR_1";117;"XL-B1010RGBT-HF";;;
2;"CN4,CN3";"CONN-SMD_40P-P0.40_OK-14GM040-04";2;"AXE640124D";;;
