Ref,Val,Package,PosX,PosY,Rot,Side
"U54","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",99.000000,-68.000000,0.000000,top
"U55","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",97.000000,-68.000000,0.000000,top
"U56","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",107.000000,-52.000000,0.000000,top
"U57","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",105.000000,-52.000000,0.000000,top
"U58","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",103.000000,-52.000000,0.000000,top
"U59","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",107.000000,-54.000000,0.000000,top
"U60","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",105.000000,-54.000000,0.000000,top
"U61","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",103.000000,-54.000000,0.000000,top
"U62","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",107.000000,-56.000000,0.000000,top
"U63","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",105.000000,-56.000000,0.000000,top
"U64","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",103.000000,-56.000000,0.000000,top
"U65","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",107.000000,-58.000000,0.000000,top
"U66","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",105.000000,-58.000000,0.000000,top
"U67","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",103.000000,-58.000000,0.000000,top
"U68","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",107.000000,-60.000000,0.000000,top
"U69","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",105.000000,-60.000000,0.000000,top
"U70","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",103.000000,-60.000000,0.000000,top
"U71","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",107.000000,-62.000000,0.000000,top
