Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U62,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,107,-56,0,top
U63,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,105,-56,0,top
U64,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,103,-56,0,top
U65,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,107,-58,0,top
U66,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,105,-58,0,top
U67,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,103,-58,0,top
U68,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,107,-60,0,top
U69,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,105,-60,0,top
U70,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,103,-60,0,top
U71,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,107,-62,0,top
U72,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,105,-62,0,top
U73,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,103,-62,0,top
U74,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,107,-64,0,top
U75,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,105,-64,0,top
U76,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,103,-64,0,top
U77,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,107,-66,0,top
U78,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,105,-66,0,top
U79,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,103,-66,0,top
U80,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,107,-68,0,top
U81,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,105,-68,0,top
U82,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,103,-68,0,top
U83,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,113,-52,0,top
U84,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,111,-52,0,top
U85,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,109,-52,0,top
U86,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,113,-54,0,top
U87,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,111,-54,0,top
U88,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,109,-54,0,top
U89,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,113,-56,0,top
U90,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,111,-56,0,top
U91,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,109,-56,0,top
U92,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,113,-58,0,top
U93,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,111,-58,0,top
U94,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,109,-58,0,top
U95,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,113,-60,0,top
U96,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,111,-60,0,top
U97,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,109,-60,0,top
U98,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,113,-62,0,top
U99,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,111,-62,0,top
U100,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,109,-62,0,top
U101,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,113,-64,0,top
U102,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,111,-64,0,top
U103,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,109,-64,0,top
U104,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,113,-66,0,top
U105,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,111,-66,0,top
U106,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,109,-66,0,top
U107,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,113,-68,0,top
U108,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,111,-68,0,top
U109,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,109,-68,0,top
U110,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,115,-52,0,top
U111,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,115,-54,0,top
U112,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,115,-56,0,top
U113,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,115,-58,0,top
U114,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,115,-60,0,top
U115,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,115,-62,0,top
U116,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,115,-64,0,top
U117,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,115,-66,0,top
U118,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,115,-68,0,top
